run_num,project_name,epoch,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss,gpu_util,cpu_util,ram_used_mb,sampled_phase
1,PNA,4,138,1775431656.192695,110.645071,47.622801,57.09387,3.668921,0.7348239421844482,,,,
1,PNA,4,139,1775431656.368414,112.018864,48.15686,57.742711,3.662231,0.8161078691482544,,,,
1,PNA,4,140,1775431656.5482378,112.759216,48.006987,58.986132,3.488909,0.8017587661743164,24.0,0.4,19389.6796875,backward
1,PNA,4,141,1775431656.723919,110.946166,47.682451,57.281354,3.662182,0.8395270109176636,,,,
1,PNA,4,142,1775431656.8961315,110.987387,47.707392,57.258903,3.670692,0.7872564792633057,,,,
1,PNA,4,143,1775431657.072329,112.100365,48.090029,58.28863,3.469269,0.7724704742431641,20.0,0.4,19389.6796875,backward
1,PNA,4,144,1775431657.2484055,111.765489,48.210861,57.607539,3.645091,0.827674388885498,,,,
1,PNA,4,145,1775431657.419519,111.479024,47.850785,57.617869,3.653211,0.8060429096221924,,,,
1,PNA,4,146,1775431657.5903502,112.119347,48.032348,58.3056,3.434378,0.8848379254341125,25.0,0.4,19389.6796875,backward
1,PNA,4,147,1775431657.7642922,110.730752,47.5515,57.057199,3.694842,0.8244696855545044,,,,
1,PNA,4,148,1775431657.9395416,111.145289,47.592581,57.455376,3.685682,0.8780051469802856,,,,
1,PNA,4,149,1775431658.1164753,112.424611,47.630851,58.998632,3.472098,0.8305189609527588,22.0,0.4,19389.6796875,backward
1,PNA,4,150,1775431658.2902226,111.588067,48.100848,57.458596,3.684882,0.834365725517273,,,,
1,PNA,4,151,1775431658.4653823,111.399204,47.750573,57.445396,3.672562,0.7812392711639404,,,,
1,PNA,4,152,1775431658.6454608,115.951431,47.56877,62.299269,3.759913,0.7329103946685791,22.0,0.4,19389.6796875,backward
1,PNA,4,153,1775431658.8206701,111.492996,47.893486,57.604039,3.658892,0.7657172679901123,,,,
1,PNA,4,154,1775431658.9940267,111.558326,48.078019,57.434976,3.667242,0.7762700319290161,,,,
1,PNA,4,155,1775431659.168353,112.302879,47.851835,58.704607,3.439598,0.7916322350502014,25.0,0.4,19389.56640625,backward
1,PNA,4,156,1775431659.343431,111.475324,47.913426,57.369945,3.645521,0.8126943111419678,,,,
1,PNA,4,157,1775431659.5174174,111.240852,47.548429,57.479418,3.673142,0.7847562432289124,,,,
1,PNA,4,158,1775431659.6914108,112.174207,48.079479,58.367922,3.421288,0.7806947231292725,19.0,0.4,19389.625,backward
1,PNA,4,159,1775431659.8656523,111.087438,47.848864,57.314253,3.652342,0.8218578100204468,,,,
1,PNA,4,160,1775431659.9798863,107.332525,47.789074,54.051499,3.704912,0.5531661510467529,,,,
1,PNA,5,161,1775431660.3135004,110.256144,48.868682,56.936437,3.455538,0.8140734434127808,3.0,0.5,19390.01171875,forward
1,PNA,5,162,1775431660.486756,110.341576,47.452369,57.206152,3.589911,0.8074243068695068,,,,
1,PNA,5,163,1775431660.6606352,110.851934,47.699232,57.149301,3.650511,0.8342474102973938,,,,
1,PNA,5,164,1775431660.83566,111.748639,48.588538,57.169831,3.641161,0.7359241247177124,23.0,0.4,19390.05859375,forward
1,PNA,5,165,1775431661.010732,110.882095,47.841845,56.857566,3.667782,0.7765475511550903,,,,
1,PNA,5,166,1775431661.1863763,111.046937,48.038938,56.439779,4.264052,0.7049701809883118,,,,
1,PNA,5,167,1775431661.3640847,112.684626,49.091445,57.0539,4.261782,0.7891541123390198,24.0,0.4,19389.578125,forward
1,PNA,5,168,1775431661.5395799,111.071918,47.893866,57.201622,3.646482,0.7553874254226685,,,,
1,PNA,5,169,1775431661.7154353,111.219961,47.740513,57.415636,3.669382,0.8072636127471924,,,,
1,PNA,5,170,1775431661.89228,112.277689,49.388601,56.825196,3.629261,0.8173869848251343,19.0,0.4,19389.1328125,forward
1,PNA,5,171,1775431662.0663168,110.806173,47.577961,56.571291,4.269992,0.7618698477745056,,,,
1,PNA,5,172,1775431662.2413845,111.16031,47.872845,56.711434,4.262701,0.7950971126556396,,,,
1,PNA,5,173,1775431662.4173565,112.490181,49.012134,56.915137,4.269652,0.8256256580352783,24.0,0.4,19388.83203125,forward
1,PNA,5,174,1775431662.5926607,111.829052,48.031298,57.116161,4.272832,0.733832597732544,,,,
